Clock Speed: 2
Event: Receive	Global Time: 1457809517.43	MsgQueue Length: 16	LC: 173
Event: Receive	Global Time: 1457809517.93	MsgQueue Length: 16	LC: 177
Event: Receive	Global Time: 1457809518.43	MsgQueue Length: 16	LC: 179
Event: Receive	Global Time: 1457809518.93	MsgQueue Length: 16	LC: 182
Event: Receive	Global Time: 1457809519.43	MsgQueue Length: 15	LC: 184
Event: Receive	Global Time: 1457809519.93	MsgQueue Length: 15	LC: 187
Event: Receive	Global Time: 1457809520.43	MsgQueue Length: 16	LC: 188
Event: Receive	Global Time: 1457809520.93	MsgQueue Length: 15	LC: 191
Event: Receive	Global Time: 1457809521.43	MsgQueue Length: 16	LC: 192
Event: Receive	Global Time: 1457809521.93	MsgQueue Length: 16	LC: 194
Event: Receive	Global Time: 1457809522.43	MsgQueue Length: 17	LC: 196
Event: Receive	Global Time: 1457809522.93	MsgQueue Length: 17	LC: 197
Event: Receive	Global Time: 1457809523.43	MsgQueue Length: 18	LC: 199
Event: Receive	Global Time: 1457809523.93	MsgQueue Length: 18	LC: 202
Event: Receive	Global Time: 1457809524.44	MsgQueue Length: 19	LC: 203
Event: Receive	Global Time: 1457809524.94	MsgQueue Length: 19	LC: 207
Event: Receive	Global Time: 1457809525.44	MsgQueue Length: 19	LC: 211
Event: Receive	Global Time: 1457809525.94	MsgQueue Length: 20	LC: 214
Event: Receive	Global Time: 1457809526.44	MsgQueue Length: 22	LC: 215
Event: Receive	Global Time: 1457809526.94	MsgQueue Length: 22	LC: 218
Event: Receive	Global Time: 1457809527.44	MsgQueue Length: 21	LC: 223
Event: Receive	Global Time: 1457809527.94	MsgQueue Length: 22	LC: 225
Event: Receive	Global Time: 1457809528.44	MsgQueue Length: 21	LC: 226
Event: Receive	Global Time: 1457809528.94	MsgQueue Length: 21	LC: 230
Event: Receive	Global Time: 1457809529.44	MsgQueue Length: 21	LC: 231
Event: Receive	Global Time: 1457809529.94	MsgQueue Length: 21	LC: 233
Event: Receive	Global Time: 1457809530.44	MsgQueue Length: 20	LC: 235
Event: Receive	Global Time: 1457809530.94	MsgQueue Length: 21	LC: 237
Event: Receive	Global Time: 1457809531.44	MsgQueue Length: 20	LC: 238
Event: Receive	Global Time: 1457809531.94	MsgQueue Length: 21	LC: 240
Event: Receive	Global Time: 1457809532.45	MsgQueue Length: 23	LC: 242
Event: Receive	Global Time: 1457809532.95	MsgQueue Length: 24	LC: 243
Event: Receive	Global Time: 1457809533.45	MsgQueue Length: 23	LC: 246
Event: Receive	Global Time: 1457809533.95	MsgQueue Length: 23	LC: 247
Event: Receive	Global Time: 1457809534.45	MsgQueue Length: 23	LC: 249
