Clock Speed: 2
Event: Internal Event	Global Time: 1457809235.36	LC: 1
Event: Receive	Global Time: 1457809235.86	MsgQueue Length: 0	LC: 4
Event: Receive	Global Time: 1457809236.36	MsgQueue Length: 0	LC: 6
Event: Receive	Global Time: 1457809236.86	MsgQueue Length: 0	LC: 10
Event: Send to VM 1	Global Time: 1457809237.36	LC: 11
Event: Internal Event	Global Time: 1457809237.87	LC: 12
Event: Internal Event	Global Time: 1457809238.37	LC: 13
Event: Receive	Global Time: 1457809238.87	MsgQueue Length: 1	LC: 21
Event: Receive	Global Time: 1457809239.37	MsgQueue Length: 1	LC: 23
Event: Receive	Global Time: 1457809239.87	MsgQueue Length: 0	LC: 24
Event: Receive	Global Time: 1457809240.37	MsgQueue Length: 0	LC: 30
Event: Receive	Global Time: 1457809240.87	MsgQueue Length: 1	LC: 33
Event: Receive	Global Time: 1457809241.37	MsgQueue Length: 2	LC: 34
Event: Receive	Global Time: 1457809241.87	MsgQueue Length: 3	LC: 36
Event: Receive	Global Time: 1457809242.37	MsgQueue Length: 2	LC: 37
Event: Receive	Global Time: 1457809242.87	MsgQueue Length: 2	LC: 40
Event: Receive	Global Time: 1457809243.37	MsgQueue Length: 1	LC: 41
Event: Receive	Global Time: 1457809243.87	MsgQueue Length: 2	LC: 47
Event: Receive	Global Time: 1457809244.37	MsgQueue Length: 3	LC: 51
Event: Receive	Global Time: 1457809244.87	MsgQueue Length: 3	LC: 52
Event: Receive	Global Time: 1457809245.38	MsgQueue Length: 3	LC: 54
Event: Receive	Global Time: 1457809245.88	MsgQueue Length: 2	LC: 55
Event: Receive	Global Time: 1457809246.38	MsgQueue Length: 2	LC: 58
Event: Receive	Global Time: 1457809246.88	MsgQueue Length: 1	LC: 61
Event: Receive	Global Time: 1457809247.38	MsgQueue Length: 1	LC: 68
Event: Receive	Global Time: 1457809247.88	MsgQueue Length: 0	LC: 73
Event: Receive	Global Time: 1457809248.38	MsgQueue Length: 0	LC: 79
Event: Send to VM 2	Global Time: 1457809248.88	LC: 80
Event: Receive	Global Time: 1457809249.38	MsgQueue Length: 0	LC: 86
Event: Receive	Global Time: 1457809249.88	MsgQueue Length: 0	LC: 89
Event: Receive	Global Time: 1457809250.38	MsgQueue Length: 2	LC: 90
Event: Receive	Global Time: 1457809250.88	MsgQueue Length: 2	LC: 91
Event: Receive	Global Time: 1457809251.38	MsgQueue Length: 2	LC: 92
Event: Receive	Global Time: 1457809251.88	MsgQueue Length: 1	LC: 93
Event: Receive	Global Time: 1457809252.38	MsgQueue Length: 2	LC: 96
Event: Receive	Global Time: 1457809252.89	MsgQueue Length: 4	LC: 103
Event: Receive	Global Time: 1457809253.39	MsgQueue Length: 3	LC: 104
Event: Receive	Global Time: 1457809253.89	MsgQueue Length: 5	LC: 105
Event: Receive	Global Time: 1457809254.39	MsgQueue Length: 4	LC: 106
Event: Receive	Global Time: 1457809254.89	MsgQueue Length: 5	LC: 107
Event: Receive	Global Time: 1457809255.39	MsgQueue Length: 5	LC: 111
Event: Receive	Global Time: 1457809255.89	MsgQueue Length: 6	LC: 112
Event: Receive	Global Time: 1457809256.39	MsgQueue Length: 5	LC: 113
Event: Receive	Global Time: 1457809256.89	MsgQueue Length: 6	LC: 118
Event: Receive	Global Time: 1457809257.39	MsgQueue Length: 7	LC: 119
Event: Receive	Global Time: 1457809257.89	MsgQueue Length: 7	LC: 120
Event: Receive	Global Time: 1457809258.39	MsgQueue Length: 7	LC: 123
Event: Receive	Global Time: 1457809258.89	MsgQueue Length: 6	LC: 125
Event: Receive	Global Time: 1457809259.39	MsgQueue Length: 7	LC: 129
Event: Receive	Global Time: 1457809259.89	MsgQueue Length: 8	LC: 131
Event: Receive	Global Time: 1457809260.4	MsgQueue Length: 9	LC: 132
Event: Receive	Global Time: 1457809260.9	MsgQueue Length: 9	LC: 133
Event: Receive	Global Time: 1457809261.4	MsgQueue Length: 9	LC: 135
Event: Receive	Global Time: 1457809261.9	MsgQueue Length: 9	LC: 139
Event: Receive	Global Time: 1457809262.4	MsgQueue Length: 8	LC: 144
Event: Receive	Global Time: 1457809262.9	MsgQueue Length: 8	LC: 146
Event: Receive	Global Time: 1457809263.4	MsgQueue Length: 7	LC: 147
Event: Receive	Global Time: 1457809263.9	MsgQueue Length: 8	LC: 149
Event: Receive	Global Time: 1457809264.4	MsgQueue Length: 9	LC: 150
Event: Receive	Global Time: 1457809264.9	MsgQueue Length: 8	LC: 151
Event: Receive	Global Time: 1457809265.4	MsgQueue Length: 9	LC: 153
Event: Receive	Global Time: 1457809265.9	MsgQueue Length: 9	LC: 157
Event: Receive	Global Time: 1457809266.4	MsgQueue Length: 9	LC: 159
Event: Receive	Global Time: 1457809266.9	MsgQueue Length: 10	LC: 166
Event: Receive	Global Time: 1457809267.4	MsgQueue Length: 10	LC: 172
Event: Receive	Global Time: 1457809267.91	MsgQueue Length: 10	LC: 173
Event: Receive	Global Time: 1457809268.41	MsgQueue Length: 9	LC: 174
Event: Receive	Global Time: 1457809268.91	MsgQueue Length: 8	LC: 175
Event: Receive	Global Time: 1457809269.41	MsgQueue Length: 10	LC: 180
Event: Receive	Global Time: 1457809269.91	MsgQueue Length: 10	LC: 182
Event: Receive	Global Time: 1457809270.41	MsgQueue Length: 9	LC: 183
Event: Receive	Global Time: 1457809270.91	MsgQueue Length: 9	LC: 186
Event: Receive	Global Time: 1457809271.41	MsgQueue Length: 9	LC: 190
Event: Receive	Global Time: 1457809271.91	MsgQueue Length: 8	LC: 191
Event: Receive	Global Time: 1457809272.41	MsgQueue Length: 8	LC: 194
Event: Receive	Global Time: 1457809272.91	MsgQueue Length: 8	LC: 196
Event: Receive	Global Time: 1457809273.41	MsgQueue Length: 10	LC: 204
Event: Receive	Global Time: 1457809273.91	MsgQueue Length: 10	LC: 205
Event: Receive	Global Time: 1457809274.41	MsgQueue Length: 11	LC: 206
Event: Receive	Global Time: 1457809274.91	MsgQueue Length: 11	LC: 209
Event: Receive	Global Time: 1457809275.42	MsgQueue Length: 11	LC: 215
Event: Receive	Global Time: 1457809275.92	MsgQueue Length: 11	LC: 217
Event: Receive	Global Time: 1457809276.42	MsgQueue Length: 11	LC: 222
Event: Receive	Global Time: 1457809276.92	MsgQueue Length: 10	LC: 227
Event: Receive	Global Time: 1457809277.42	MsgQueue Length: 11	LC: 228
